job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform,salary_min,salary_max,posted_date_ts
Account Executive (PHARMACEUTICAL),"PT Enseval Putera Megatrading, Tbk",Jakarta Timur,,,,,,,2026-03-03T07:00:00Z,Karir.com,,,2026-03-03 07:00:00
Admin Bank,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:22:00Z,Karir.com,,,2026-03-04 04:22:00
Admin office general - Area Surabaya,Perusahaan dirahasiakan,Surabaya,,,,5600000 - 6500000,,,2026-03-03T07:00:00Z,Karir.com,5600000.0,6500000.0,2026-03-03 07:00:00
Akuntansi Keuangan,PT Gohalalgo Syariah Indonesia,Jakarta Selatan,,,,4000000 - 5700000,,,2026-03-04T07:47:18.666104Z,Karir.com,4000000.0,5700000.0,2026-03-04 07:47:18
Asisten Rekrutmen,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:22:00Z,Karir.com,,,2026-03-04 04:22:00
Deputy Building Management Jakarta,PT Pesonna Indonesia Jaya,Jakarta Pusat,,,,10000000 - 12500000,,,2026-03-03T06:40:00Z,Karir.com,10000000.0,12500000.0,2026-03-03 06:40:00
Field Collection,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:27:00Z,Karir.com,,,2026-03-04 04:27:00
Front Desk Officer,Harvard Cinderella English Course,Bandung,,,,1000000 - 2000000,,,2026-03-04T01:49:05.432939Z,Karir.com,1000000.0,2000000.0,2026-03-04 01:49:05
Front Liner,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:27:00Z,Karir.com,,,2026-03-04 04:27:00
GATE ENTRANCE,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:26:00Z,Karir.com,,,2026-03-04 04:26:00
HR Anabler / HR Service Delivery Analyst,PT Bina Talenta,Prov. DKI-Jakarta,,,,6000000 - 7500000,,,2026-03-03T05:30:00Z,Karir.com,6000000.0,7500000.0,2026-03-03 05:30:00
Magang Digital Sosial Media,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:27:00Z,Karir.com,,,2026-03-04 04:27:00
Marketing dan Customer Service,PT Inter Mitra Transindo,Jakarta Timur,,,,4600000 - 5000000,,,2026-03-03T07:15:00Z,Karir.com,4600000.0,5000000.0,2026-03-03 07:15:00
Perawat,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:27:00Z,Karir.com,,,2026-03-04 04:27:00
Petugas IT,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:27:00Z,Karir.com,,,2026-03-04 04:27:00
Petugas Operasional Kredit,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:28:00Z,Karir.com,,,2026-03-04 04:28:00
Programmer Perbankan,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:27:00Z,Karir.com,,,2026-03-04 04:27:00
Sales,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:25:00Z,Karir.com,,,2026-03-04 04:25:00
TEKNISI CCTV ISP WI FI DENPASAR KUTA BALI,PT Rajawali Anugrah Resources,Denpasar,,,,3791000 - 4100000,,,2026-03-03T05:30:00Z,Karir.com,3791000.0,4100000.0,2026-03-03 05:30:00
Teknisi Apartemen,PT Mitra Langgeng Sejati,Jakarta Selatan,,,,,,,2026-03-04T04:28:00Z,Karir.com,,,2026-03-04 04:28:00
